Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,10
Mini Batch Size,10
Learning Rate,0.1
Accuracy,7711 / 10000

Epoch,Cost,Accuracy
1,2.841873922345842,4236
2,2.081184526392679,6076
3,1.8395652458576488,6532
4,1.6952966883061773,6746
5,1.5784872140351127,6934
6,1.4625676563004495,7447
7,1.3761396737640692,7655
8,1.2878410760071397,7877
9,1.4661082638263758,7336
10,1.2899931037694596,7711

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,10
Mini Batch Size,10
Learning Rate,0.3
Accuracy,6954 / 10000

Epoch,Cost,Accuracy
1,3.067205646054386,4356
2,2.7993812280008172,5806
3,2.999374699289136,5396
4,2.9599555305059266,5530
5,2.7586935081980313,5583
6,2.445052527932487,6305
7,2.1818595489291264,6402
8,2.002589142922194,6128
9,1.574580635289465,6809
10,1.6442290366000283,6954

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,10
Mini Batch Size,20
Learning Rate,0.1
Accuracy,6760 / 10000

Epoch,Cost,Accuracy
1,4.422856485477112,3371
2,3.531286321487082,4602
3,3.2873215071568875,4955
4,2.961125262458339,5465
5,2.8720764808609527,5901
6,2.6915174613872392,6229
7,2.588367518098869,6374
8,2.555279959674758,6563
9,2.491034743577578,6667
10,2.4489456451251277,6760

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,10
Mini Batch Size,20
Learning Rate,0.3
Accuracy,7526 / 10000

Epoch,Cost,Accuracy
1,3.590739498243291,3709
2,2.9746505691626703,4762
3,2.524370175870121,5927
4,2.3451333914403105,6424
5,2.278455383855395,6658
6,2.220821537237968,6784
7,1.8715867957857943,6741
8,1.6986942552526039,6686
9,1.5543277327389993,7213
10,1.4498441574845458,7526

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,20
Mini Batch Size,10
Learning Rate,0.1
Accuracy,7024 / 10000

Epoch,Cost,Accuracy
1,4.9657386819149965,3260
2,4.039382965620155,4226
3,3.569172094260917,5054
4,2.9670575055654096,5359
5,2.8807384209229308,6008
6,2.807254871003454,6293
7,2.5668264262240914,6420
8,2.389854391551083,6706
9,2.3615461156369886,6617
10,2.314806903663017,6669
11,2.201670565777452,7024
12,2.3865278403583385,7023
13,2.336948417709574,7133
14,2.213272165515206,7070
15,2.2262659561829246,7027
16,1.987094459756845,7294
17,2.04768066137588,7124
18,1.9831398087403638,7141
19,1.9651787609894544,7152
20,1.9912448878615667,7024

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,20
Mini Batch Size,10
Learning Rate,0.3
Accuracy,7175 / 10000

Epoch,Cost,Accuracy
1,2.423768235713788,5246
2,2.1769268202331693,5259
3,2.167112335985601,5267
4,2.1898567166888396,5312
5,2.2833191025955295,4785
6,2.0023441657026098,5933
7,1.9918180505751326,5607
8,1.8299346026898025,6016
9,1.76981096929466,6447
10,1.7682597295577176,6664
11,1.6745868173710095,6955
12,1.5319665258510848,7257
13,1.715707165095105,6548
14,1.7141497257257454,6738
15,1.7057509101330084,6680
16,1.5993677762824288,7136
17,1.644622337872067,7083
18,1.6652406901387238,6826
19,1.4634413536662676,7363
20,1.5672095235978596,7175

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,20
Mini Batch Size,20
Learning Rate,0.1
Accuracy,8113 / 10000

Epoch,Cost,Accuracy
1,3.8331396702457994,3702
2,3.4919395882298394,4475
3,2.9774796074840646,5203
4,2.7966297059094427,5607
5,2.529113050084931,6055
6,2.380036528814584,6289
7,2.1491574265472413,6520
8,2.0534564893195184,6679
9,2.1234022072894176,6757
10,1.9661867099432904,6985
11,1.9446047789500251,7002
12,1.8188635289596642,7171
13,1.5592418451168124,7344
14,1.368696037781229,7744
15,1.3336932970345585,7730
16,1.3013661916851387,7866
17,1.2405344785965924,8025
18,1.191294746325848,8096
19,1.194687087839702,8105
20,1.1295590961331663,8113

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,20
Mini Batch Size,20
Learning Rate,0.3
Accuracy,7551 / 10000

Epoch,Cost,Accuracy
1,3.4694874885501856,4665
2,3.0114947335027065,5450
3,3.1328784342021505,5454
4,2.9094130920669534,5956
5,2.6465402088156047,5810
6,2.28231039818048,6658
7,2.0715045090290465,6973
8,2.2952817563587637,7086
9,2.2743771823953134,6872
10,2.4021630721101066,6823
11,2.2963696969159026,7030
12,2.304609210883894,6733
13,2.242467515161065,7255
14,2.222513792256138,7174
15,2.129513325244319,7437
16,2.071610625442204,7331
17,1.9830913033362536,7418
18,1.9284993256054623,7551
19,2.0739999937838807,7360
20,1.9761454787130674,7551

Input Neurons,784
Hidden Neurons,"[30, 30]"
Output Neurons,10
Epochs,10
Mini Batch Size,10
Learning Rate,0.1
Accuracy,7576 / 10000

Epoch,Cost,Accuracy
1,2.3422721462986766,5036
2,1.8493328548089785,6664
3,1.651666976059879,7040
4,1.6583038079253698,6907
5,1.6332829081035074,7038
6,1.4944210999245913,7366
7,1.4271391079294335,7306
8,1.3770264947556266,7457
9,1.3474275752097182,7486
10,1.3339961199941766,7576

Input Neurons,784
Hidden Neurons,"[30, 30]"
Output Neurons,10
Epochs,10
Mini Batch Size,10
Learning Rate,0.3
Accuracy,5953 / 10000

Epoch,Cost,Accuracy
1,2.0250379671754666,5864
2,1.857056046695424,6317
3,1.8225658081419012,6067
4,1.5267017760914565,7003
5,1.6655664767999983,6614
6,1.7896757141710609,6367
7,1.855579361742138,6100
