0,1,2
Parameter,Value
Input Neurons,784
Hidden Neurons,[100]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,8725 / 10000

Epoch,Cost,Accuracy
1,0.052313396384646355,5526
2,0.04001550108399822,6613
3,0.0298857998149196,7615
4,0.02892810673526201,7658
5,0.02838935438570206,7670
6,0.027766000439335657,7675
7,0.026801446455671663,7712
8,0.026240583216521018,7722
9,0.026045308730840114,7722
10,0.026060150755002183,7731
11,0.025395843403960977,7742
12,0.025543090818418955,7732
13,0.025997721524007193,7746
14,0.02494155247188307,7747
15,0.02487864086689964,7733
16,0.024877024909491494,7748
17,0.017587185160753933,8617
18,0.016890326248011837,8661
19,0.01627507093814531,8678
20,0.016333400342466053,8693
21,0.015722708440954254,8714
22,0.015422391351171827,8729
23,0.01518925814787619,8725
24,0.015274833302893578,8733
25,0.015135481154410052,8721
26,0.014655156514396387,8726
27,0.014763894754589122,8730
28,0.014712841613265288,8725
29,0.014500363813900321,8723
30,0.014394691405907429,8725

