0,1,2
Parameter,Value
Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.0005
Accuracy,4531 / 10000

Epoch,Cost,Accuracy
1,0.07333150173199865,3692
2,0.07177808918224442,3864
3,0.07305693066090713,3288
4,0.06529486382266093,4314
5,0.0615187003719147,4611
6,0.06313667374829071,4630
7,0.061195326648184216,4631
8,0.06584537129413949,3913
9,0.06690660002754636,3874
10,0.06082158755281726,4540
11,0.06655870534237955,3874
12,0.061242586227617773,4620
13,0.06659967702727693,3854
14,0.06226214604633922,4632
15,0.06677517801697042,3857
16,0.06836475562923797,3742
17,0.06707625189062309,3844
18,0.06892178302009044,3887
19,0.06725533423788549,3912
20,0.06845014849829459,3719
21,0.06804957253052199,3776
22,0.06814235146046158,3782
23,0.07012298979115276,3751
24,0.0681925993033961,3792
25,0.07042370291897125,3592
26,0.0689349312811542,3771
27,0.07247994018447058,3420
28,0.06571979175907396,4530
29,0.06997768470344971,3719
30,0.06475342751794091,4531

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,3293 / 10000

Epoch,Cost,Accuracy
1,0.09276536070281333,1871
2,0.09240869944734002,1883
3,0.09233971168473551,1854
4,0.0920826074095116,1858
5,0.0858180354011305,2716
6,0.08483588569268108,2777
7,0.08465096778661203,2759
8,0.08184360634728477,2514
9,0.07799959379324636,2871
10,0.07942973430956661,2814
11,0.07985911890083855,2862
12,0.08473665445815523,3528
13,0.07266679862695938,3528
14,0.0725736617420956,3605
15,0.07422154116395334,3378
16,0.07237798984493077,3470
17,0.0736277687023415,3644
18,0.0750624292452098,3268
19,0.07418252711013883,3600
20,0.0729127015211054,3502
21,0.07351042166400926,3429
22,0.07404016344505326,3576
23,0.07397067322033676,3365
24,0.075212804206585,3345
25,0.07592960370666775,3385
26,0.07667016977950544,3517
27,0.07629765820314181,3398
28,0.07696466699251486,3491
29,0.07570456017067366,3336
30,0.07882915145470253,3293

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,100
Learning Rate,0.0005
Accuracy,5092 / 10000

Epoch,Cost,Accuracy
1,0.0993466579494045,2334
2,0.09875020935710867,1970
3,0.09754921711448018,3446
4,0.09350981375945494,4275
5,0.09008662654656452,4119
6,0.08618866114814498,4055
7,0.0829156326014453,4495
8,0.0808994003285338,4408
9,0.07889150165885418,4459
10,0.07571376070170885,4524
11,0.07481372243775063,4861
12,0.07341260105873793,4907
13,0.07234333986432687,4920
14,0.07065775633480835,4925
15,0.0693702440106008,4956
16,0.06885054576378391,4954
17,0.06850880727073275,4979
18,0.06820002113367676,4970
19,0.06794726985667143,4984
20,0.06771604825527582,4993
21,0.06751772131094867,4995
22,0.06736145700176469,5007
23,0.06720086681826427,4952
24,0.06703311141206748,4968
25,0.06690577665458058,4970
26,0.06678349804949787,4943
27,0.06665026269062571,4997
28,0.06653523223050488,5068
29,0.06645881969083614,5089
30,0.0663962343002593,5092

Input Neurons,784
Hidden Neurons,[5]
Output Neurons,10
Epochs,30
Mini Batch Size,100
Learning Rate,0.001
Accuracy,4862 / 10000

Epoch,Cost,Accuracy
1,0.08835648202503792,2964
2,0.08498382085959037,3307
3,0.07560025850436049,4187
4,0.07463425861903547,4421
5,0.07388698178405619,4483
6,0.07331367066588197,4571
7,0.07298317120208342,4624
8,0.0712566627785812,4726
9,0.06798008356296348,4742
10,0.06662120623541944,4781
11,0.06606290783650139,4808
12,0.06571015321179367,4834
13,0.06547147423730391,4829
14,0.0652297688508032,4854
15,0.06512869379316641,4846
16,0.06501767632359695,4850
17,0.06494204011314235,4852
18,0.06487099397336393,4854
19,0.06480244526724425,4850
20,0.06473208345103178,4856
21,0.06471425027758435,4853
22,0.0646974698546143,4853
23,0.0646071737175726,4857
24,0.06458980057246336,4854
25,0.06454641436709618,4867
26,0.06453538221107546,4864
27,0.06448856333686265,4867
28,0.06445973999524013,4865
29,0.06443922375572289,4873
